height,weight
151.765,47.8256065
139.7,36.4858065
136.525,31.864838
156.845,53.0419145
145.415,41.276872
163.83,62.992589
149.225,38.2434755
168.91,55.4799715
147.955,34.869885
165.1,54.487739
154.305,49.89512
151.13,41.220173
144.78,36.0322145
149.9,47.7
150.495,33.849303
163.195,48.5626935
157.48,42.3258035
143.9418,38.3568735
121.92,19.617854
105.41,13.947954
86.36,10.489315
161.29,48.987936
156.21,42.7226965
129.54,23.586784
109.22,15.989118
146.4,35.493574
148.59,37.9032815
147.32,35.4652245
137.16,27.328918
125.73,22.6796
114.3,17.860185
147.955,40.312989
161.925,55.111428
146.05,37.5063885
146.05,38.498621
152.7048,46.606578
142.875,38.838815
142.875,35.5786225
147.955,47.400364
160.655,47.8823055
151.765,49.4131785
162.8648,49.384829
171.45,56.5572525
147.32,39.12231
147.955,49.89512
144.78,28.803092
121.92,20.41164
128.905,23.359988
97.79,13.267566
154.305,41.2485225
143.51,38.55532
146.7,42.4
157.48,44.6504625
127,22.0105518
110.49,15.422128
97.79,12.757275
165.735,58.5984165
152.4,46.719976
141.605,44.22522
158.8,50.9
155.575,54.317642
164.465,45.8978405
151.765,48.024053
161.29,52.219779
154.305,47.62716
145.415,45.642695
145.415,42.410852
152.4,36.4858065
163.83,55.9335635
144.145,37.194544
129.54,24.550667
129.54,25.627948
153.67,48.307548
142.875,37.3362915
146.05,29.596878
167.005,47.173568
158.4198,47.286966
91.44,12.927372
165.735,57.549485
149.86,37.931631
147.955,41.900561
137.795,27.5840635
154.94,47.2019175
160.9598,43.204638
161.925,50.2636635
147.955,39.3774555
113.665,17.463292
159.385,50.689
148.59,39.4341545
136.525,36.28736
158.115,46.266384
144.78,42.2691045
156.845,47.62716
179.07,55.7067675
118.745,18.824068
170.18,48.5626935
146.05,42.807745
147.32,35.0683315
113.03,17.8885345
162.56,56.755699
133.985,27.442316
152.4,51.255896
160.02,47.230267
149.86,40.936678
142.875,32.715323
167.005,57.0675435
159.385,42.977842
154.94,39.9444455
148.59,32.4601775
111.125,17.123098
111.76,16.499409
162.56,45.9545395
152.4,41.106775
124.46,18.257078
111.76,15.081934
86.36,11.4815475
170.18,47.5988105
146.05,37.5063885
159.385,45.019006
151.13,42.2691045
160.655,54.8562825
169.545,53.523856
158.75,52.1914295
74.295,9.752228
149.86,42.410852
153.035,49.5832755
96.52,13.097469
161.925,41.730464
162.56,56.018612
149.225,42.1557065
116.84,19.391058
100.076,15.081934
163.195,53.0986135
161.925,50.235314
145.415,42.52425
163.195,49.101334
151.13,38.498621
150.495,49.8100715
141.605,29.313383
170.815,59.760746
91.44,11.7083435
157.48,47.9390045
152.4,39.292407
149.225,38.1300775
129.54,21.999212
147.32,36.8826995
145.415,42.127357
121.92,19.787951
113.665,16.782904
157.48,44.565414
154.305,47.853956
120.65,21.1770765
115.6,18.9
167.005,55.1964765
142.875,32.998818
152.4,40.879979
96.52,13.267566
160,51.2
159.385,49.044635
149.86,53.4388075
160.655,54.090846
160.655,55.3665735
149.225,42.240755
125.095,22.3677555
140.97,40.936678
154.94,49.6966735
141.605,44.338618
160.02,45.9545395
150.1648,41.95726
155.575,51.482692
103.505,12.757275
94.615,13.0124205
156.21,44.111822
153.035,32.205032
167.005,56.755699
149.86,52.673371
147.955,36.4858065
159.385,48.8461885
161.925,56.9541455
155.575,42.0990075
159.385,50.178615
146.685,46.549879
172.72,61.80191
166.37,48.987936
141.605,31.524644
142.875,32.205032
133.35,23.756881
127.635,24.4089195
119.38,21.5172705
151.765,35.2951275
156.845,45.642695
148.59,43.885026
157.48,45.5576465
149.86,39.008912
147.955,41.163474
102.235,13.1258185
153.035,45.245802
160.655,53.637254
149.225,52.3048275
114.3,18.3421265
100.965,13.7495075
138.43,39.0939605
91.44,12.530479
162.56,45.699394
149.225,40.3980375
158.75,51.482692
149.86,38.668718
158.115,39.235708
156.21,44.338618
148.59,39.519203
143.51,31.071052
154.305,46.776675
131.445,22.509503
157.48,40.6248335
157.48,50.178615
154.305,41.276872
107.95,17.57669
168.275,54.6
145.415,44.9906565
147.955,44.735511
100.965,14.401546
113.03,19.050864
149.225,35.8054185
154.94,45.2174525
162.56,48.1091015
156.845,45.6710445
123.19,20.808533
161.0106,48.420946
144.78,41.1918235
143.51,38.4135725
149.225,42.127357
110.49,17.6617385
149.86,38.2434755
165.735,48.3358975
144.145,38.9238635
157.48,40.029494
154.305,50.2069645
163.83,54.2892925
156.21,45.6
153.67,40.766581
134.62,27.1304715
144.145,39.4341545
114.3,20.4966885
162.56,43.204638
146.05,31.864838
120.65,20.8935815
154.94,45.4442485
144.78,38.045029
106.68,15.989118
146.685,36.0889135
152.4,40.879979
163.83,47.910655
165.735,47.7122085
156.21,46.379782
152.4,41.163474
140.335,36.5992045
158.115,43.09124
163.195,48.137451
151.13,36.7126025
171.1198,56.5572525
149.86,38.6970675
163.83,47.4854125
141.605,36.2023115
93.98,14.288148
149.225,41.276872
105.41,15.2236815
146.05,44.7638605
161.29,50.4337605
162.56,55.281525
145.415,37.931631
145.415,35.493574
170.815,58.456669
127,21.488921
159.385,44.4236665
159.4,44.4
153.67,44.565414
160.02,44.622113
150.495,40.483086
149.225,44.0834725
127,24.4089195
142.875,34.416293
142.113,32.772022
147.32,35.947166
162.56,49.5549
164.465,53.183662
160.02,37.081146
153.67,40.5114355
167.005,50.6038575
151.13,43.9700745
147.955,33.792604
125.3998,21.375523
111.125,16.669506
153.035,49.89
139.065,33.5941575
152.4,43.8566765
154.94,48.137451
147.955,42.751046
143.51,34.8415355
117.983,24.097075
144.145,33.906002
92.71,12.076887
147.955,41.276872
155.575,39.7176495
150.495,35.947166
155.575,50.915702
154.305,45.756093
130.6068,25.2594045
101.6,15.3370795
157.48,49.214732
168.91,58.8252125
150.495,43.4597835
111.76,17.8318355
160.02,51.9646335
167.64,50.688906
144.145,34.246196
145.415,39.3774555
160.02,59.5622995
147.32,40.312989
164.465,52.16308
153.035,39.972795
149.225,43.941725
160.02,54.601137
149.225,45.075705
85.09,11.453198
84.455,11.7650425
59.6138,5.896696
92.71,12.1052365
111.125,18.313777
90.805,11.3681495
153.67,41.333571
99.695,16.2442635
62.484,6.80388
81.915,11.8784405
96.52,14.968536
80.01,9.865626
150.495,41.900561
151.765,42.524
140.6398,28.859791
88.265,12.7856245
158.115,43.147939
149.225,40.82328
151.765,42.864444
154.94,46.209685
123.825,20.581737
104.14,15.87572
161.29,47.853956
148.59,42.52425
97.155,17.066399
93.345,13.1825175
160.655,48.5059945
157.48,45.869491
167.005,52.900167
157.48,47.570461
91.44,12.927372
60.452,5.6699
137.16,28.91649
152.4,43.544832
152.4,43.431434
81.28,11.509897
109.22,11.7083435
71.12,7.540967
89.2048,12.700576
67.31,7.200773
85.09,12.360382
69.85,7.7961125
161.925,53.2120115
152.4,44.678812
88.9,12.5588285
90.17,12.700576
71.755,7.37087
83.82,9.2135875
159.385,47.2019175
142.24,28.632995
142.24,31.6663915
168.91,56.4438545
123.19,20.014747
74.93,8.50485
74.295,8.3064035
90.805,11.623295
160.02,55.791816
67.945,7.9662095
135.89,27.21552
158.115,47.4854125
85.09,10.8011595
93.345,14.004653
152.4,45.1607535
155.575,45.529297
154.305,48.874538
156.845,46.5782285
120.015,20.128145
114.3,18.14368
83.82,10.9145575
156.21,43.885026
137.16,27.158821
114.3,19.050864
93.98,13.834556
168.275,56.0469615
147.955,40.086193
139.7,26.5634815
157.48,50.802304
76.2,9.2135875
66.04,7.5693165
160.7,46.3
114.3,19.4194075
146.05,37.9032815
161.29,49.3564795
69.85,7.314171
133.985,28.1510535
67.945,7.824462
150.495,44.111822
163.195,51.0291
148.59,40.766581
148.59,37.5630875
161.925,51.59609
153.67,44.8205595
68.58,8.0229085
151.13,43.4030845
163.83,46.719976
153.035,39.5475525
151.765,34.7848365
132.08,22.792998
156.21,39.292407
140.335,37.4496895
158.75,48.6760915
142.875,35.606972
84.455,9.3836845
151.9428,43.714929
161.29,48.19415
127.9906,29.8520235
160.9852,50.972401
144.78,43.998424
132.08,28.292801
117.983,20.354941
160.02,48.19415
154.94,39.179009
160.9852,46.6916265
165.989,56.415505
157.988,48.591043
154.94,48.2224995
97.9932,13.2959155
64.135,6.6621325
160.655,47.4854125
147.32,35.550273
146.7,36.6
147.32,48.9595865
172.9994,51.255896
158.115,46.5215295
147.32,36.967748
124.9934,25.117657
106.045,16.272613
165.989,48.647742
149.86,38.045029
76.2,8.50485
161.925,47.286966
140.0048,28.3495
66.675,8.1363065
62.865,7.200773
163.83,55.394923
147.955,32.488527
160.02,54.204244
154.94,48.477645
152.4,43.0628905
62.23,7.257472
146.05,34.189497
151.9936,49.951819
157.48,41.3052215
55.88,4.8477645
60.96,6.23689
151.765,44.338618
144.78,33.45241
118.11,16.896302
78.105,8.221355
160.655,47.286966
151.13,46.1246365
121.92,20.184844
92.71,12.757275
153.67,47.400364
147.32,40.8516295
139.7,50.348712
157.48,45.132404
91.44,11.623295
154.94,42.240755
143.51,41.6454155
83.185,9.1568885
158.115,45.2174525
147.32,51.255896
123.825,21.205426
88.9,11.5949455
160.02,49.271431
137.16,27.952607
165.1,51.199197
154.94,43.8566765
111.125,17.690088
153.67,35.5219235
145.415,34.246196
141.605,42.88542
144.78,32.545226
163.83,46.776675
161.29,41.8722115
154.9,38.2
161.3,43.3
170.18,53.637254
149.86,42.977842
123.825,21.54562
85.09,11.4248485
160.655,39.7743485
154.94,43.3463855
106.045,15.478827
126.365,21.9141635
166.37,52.673371
148.2852,38.441922
124.46,19.27766
89.535,11.113004
101.6,13.494362
151.765,42.807745
148.59,35.890467
153.67,44.22522
53.975,4.252425
146.685,38.0733785
56.515,5.159609
100.965,14.3164975
121.92,23.2182405
81.5848,10.659412
154.94,44.111822
156.21,44.0267735
132.715,24.9759095
125.095,22.5945515
101.6,14.344847
160.655,47.8823055
146.05,39.405805
132.715,24.777463
87.63,10.659412
156.21,41.050076
152.4,40.82328
162.56,47.0318205
114.935,17.519991
67.945,7.2291225
142.875,34.246196
76.835,8.0229085
145.415,31.127751
162.56,52.16308
156.21,54.0624965
71.12,8.051258
158.75,52.5316235
